phonemized_utterance	processed_gloss
ð ɪ s ɪ z	this is ?
j uː d oʊ n t w ɔ n t t uː	you don't want to .
ʃ iː d ɪ d ɪ t	she did it ?
ð ɪ s ɪ z eɪ	this is a .
j uː w ɔ n ə p l eɪ t uː	you wanna play too ?
h iː z n ɑː t l ɪ ɾ ə l	he's not little .
aɪ n oʊ h ɪ ɹ	i know here .
ɑː ɹ w iː ɡ ə n ə	are we gonna ?
aɪ w ɔ n t w ʌ n t uː	i want one too !
f ɔː ɹ h ɪ m	for him .
l ɛ t s p ʊ t ɪ ɾ ɔ n h ɪ m	let's put it on him .
aɪ d oʊ n t θ ɪ ŋ k j uː n oʊ	i don't think you know .
ɪ z ð æ t h aʊ j uː n oʊ	is that how you know ?
j uː ɡ oʊ ɪ ŋ t ə d uː w ʌ t	you going to do what ?
n aʊ k æ n aɪ d uː ɪ t	now can i do it ?
d̠ʒ ʌ s t eɪ	just a .
oʊ h ɪ ɹ aɪ ɡ oʊ	oh here i go .
j ɛ h ɹ aɪ t ʌ p h ɪ ɹ	yeah right up here .
w iː d ɪ d ɪ t l ʊ k	we did it look !
ɡ oʊ s iː w ʌ t	go see what ?
w ʌ t ɐ b aʊ t j uː	what about you .
æ n d k ʌ m ɔ n	and come on .
j ɛ h aʊ t	yeah out .
aɪ ɡ ɑː t h ɪ m	i got him !
l ɛ t s s iː w ʌ t s ɪ n h ɪ ɹ	let's see what's in here ?
oʊ ð æ t s n ɑː t f ɔː ɹ j uː	oh that's not for you .
ɪ z ð ɪ s ɔː l	is this all .
oʊ j uː w ɔ n t ɪ ɾ aʊ t	oh you want it out ?
h ɪ ɹ h ɪ ɹ j uː ɡ oʊ	here here you go .
ð ɛ n w ʌ t ɪ z ɪ t	then what is it ?
ð eɪ d̠ʒ ʌ s t ɡ oʊ l aɪ k ð ɪ s	they just go like this .
k æ n w iː d̠ʒ ʌ s t l ʊ k	can we just look ?
aɪ d uː l aɪ k ɪ t	i do like it .
n aʊ w ʌ t s ð ɪ s h ɪ ɹ	now what's this here ?
j ɛ h ɪ t s ɔː l aʊ t	yeah it's all out .
l ʊ k f ɔː ɹ ɪ t	look for it .
d̠ʒ ʌ s t l aɪ k j uː d ɪ d j ɛ h	just like you did yeah .
j uː w ɔ n ə p ʊ t ð ɛ m ɪ n	you wanna put them in ?
æ n d w ɛ n ɪ t s ʌ p	and when it's up .
j uː d̠ʒ ʌ s t w ɔ n t aʊ t	you just want out .
s iː ð ə b eɪ b i	see the baby .
l ʊ k l ʊ k	look look .
w ʌ t ʌ p	what up ?
l ɛ t s h æ v ɪ ɾ ɪ t h ɪ ɹ	let's have it it here .
oʊ k eɪ t ʊ iː t	okay to eat .
p ʊ t ɪ ɾ ɪ n ð ɛ ɹ	put it in there !
ɪ z ð æ t f ɔː ɹ w ʌ t	is that for what ?
w ʌ t s ɡ oʊ ɪ ŋ ɔ n ɹ aɪ t ð ɛ ɹ	what's going on right there ?
w ɛ l h iː ɪ z	well he is .
j uː ɡ oʊ ɪ ŋ j uː n ɑː t	you going you not ?
ɔː ɹ d uː j uː	or do you ?
w ɛ ɹ ɪ z h iː h ɪ ɹ	where is he here ?
ð æ t s ɔː l aɪ d uː	that's all i do .
j uː d uː w ʌ t	you do what ?
ð ɪ s ɪ z d̠ʒ ʌ s t	this is just .
h ɪ m oʊ v ɚ h ɪ ɹ	him over here .
w ʌ t s ʃ iː s eɪ	what's she say ?
aɪ w ɔ n ə	i wanna .
n oʊ oʊ k eɪ	no okay ?
w ɛ l ð ɛ n iː t ɪ t	well then eat it .
ð ɛ ɹ z ð ɪ eɪ	there's the a .
d̠ʒ ʌ s t ɹ aɪ t h ɪ ɹ	just right here .
l ɛ t s s iː j ɛ h ð æ t s ɡ ʊ d	let's see yeah that's good .
h ɪ ɹ l ɛ t s d uː ð ɪ s	here let's do this .
æ n d ð eɪ k æ n	and they can .
j uː s eɪ ɪ t	you say it !
oʊ w ʌ t d ɪ d h iː ɡ ɛ t	oh what did he get ?
j ɛ h aɪ m ɡ ə n ə p l eɪ	yeah i'm gonna play .
w ɛ ɹ d uː w iː ɡ oʊ n aʊ	where do we go now ?
j uː ɡ oʊ l aɪ k ð æ t	you go like that .
oʊ k eɪ h iː z ʌ m	okay he's um .
aɪ k æ n s iː j uː n aʊ	i can see you now .
w ʌ n f ɔː ɹ j uː	one for you !
j uː l aɪ k ɪ t t uː	you like it too ?
b ɪ k ʌ z j uː w ɔ n ə	because you wanna .
æ n d ð ɪ s ɪ z ɔ n	and this is on ?
d ʌ z h iː l aɪ k j uː	does he like you ?
n oʊ aɪ d oʊ n t	no i don't .
s oʊ aɪ θ ɪ ŋ k ð æ t s ɔː l	so i think that's all .
b ʌ t j uː n oʊ	but you know .
j uː d̠ʒ ʌ s t l ʊ k	you just look !
w ʌ t d ʌ z ɪ t s eɪ	what does it say ?
ɹ aɪ t ð ɛ ɹ ð ɛ ɹ z w ʌ n	right there there's one .
d oʊ n t l aɪ k ð æ t	don't like that .
oʊ j ɛ h ð æ t s ɹ aɪ t	oh yeah that's right .
l ɛ t s ɡ oʊ ɪ n h ɪ ɹ	let's go in here !
l aɪ k n aʊ	like now .
j ʊ ɹ n ɑː t ɡ oʊ ɪ ŋ	you're not going .
j uː l ʊ k d̠ʒ ʌ s t l aɪ k ɪ t	you look just like it !
j uː w ɔ n ə iː t n aʊ	you wanna eat now ?
oʊ w ɛ ɹ ð eɪ ɡ oʊ ɪ ŋ	oh where they going ?
w iː ɡ ɛ t ʌ p	we get up .
d oʊ n t j uː ɡ ɛ t ɪ t	don't you get it .
d ɪ d j uː d uː ð æ t	did you do that ?
n oʊ d̠ʒ ʌ s t ɡ oʊ l aɪ k ð æ t	no just go like that .
oʊ aɪ w ɔ n t j uː	oh i want you !
l ʊ k ð ɛ ɹ ɪ z ɪ z	look there is is !
j uː w ɔ n ə k ʌ m aʊ t	you wanna come out ?
j ɛ h j uː ɡ ə n ə ɡ ɛ t h ɜː	yeah you gonna get her ?
j uː θ ɪ ŋ k ɪ ɾ ɪ z	you think it is ?
ð ɛ ɹ h iː ɪ z s iː	there he is see ?
oʊ k eɪ p ʊ t ɪ ɾ ʌ p	okay put it up .
s iː w ʌ t ɪ t d ɪ d	see what it did ?
ʌ m ɪ t s	um it's .
n aʊ d uː ð ɪ s	now do this .
h iː ɡ ɑː t m iː	he got me !
aɪ n oʊ b ʌ t aɪ	i know but i .
l ʊ k w ʌ t ʃ iː d ɪ d	look what she did !
ɡ oʊ s iː w ʌ t ɪ ɾ ɪ z	go see what it is .
ð æ t ɡ oʊ ɹ aɪ t ð ɛ ɹ	that go right there .
l ʊ k h ɪ ɹ	look here !
w ʌ t s æ t w ʌ n	what's at one .
ɪ t s oʊ k eɪ h ɪ ɹ	it's okay here .
æ n d ɔː l ð æ t	and all that .
b ɪ k ʌ z j uː ɑː ɹ	because you are .
w ʌ t ɐ ɡ ʊ d	what a good .
oʊ w ʌ t ð æ t	oh what that .
k æ n j uː k ʌ m oʊ v ɚ h ɪ ɹ	can you come over here ?
w ʌ t d uː j uː p ʊ t ð ɛ ɹ	what do you put there ?
ð ɛ ɹ ð ɛ ɹ j uː ɑː ɹ	there there you are .
w ʌ t j uː ɡ ɑː t ð ɛ ɹ	what you got there ?
w ʌ t j uː w ʌ t	what you what ?
ð ɛ n w ʌ t k æ n w iː d uː	then what can we do ?
n oʊ ð æ t s n ɑː t ɹ aɪ t	no that's not right .
oʊ k eɪ l ɛ t s d uː ð ɪ s	okay let's do this .
w ʌ t ɪ z oʊ l ʊ k	what is oh look .
h ɪ ɹ s iː	here see .
aɪ m ɡ ə n ə p ʊ t ð ɪ s ɪ n	i'm gonna put this in .
w ʌ t ɑː ɹ w iː	what are we ?
w ɛ ɹ d uː aɪ ɡ oʊ	where do i go ?
j ɛ h l ɛ t s p l eɪ ɪ t	yeah let's play it .
oʊ j ɛ h h iː ɪ z	oh yeah he is .
aɪ n oʊ w ʌ t aɪ w ɔ n t	i know what i want .
l ʊ k æ t h ɪ m ɹ aɪ t ð ɛ ɹ	look at him right there .
w ɛ ɹ d ɪ d ð eɪ p ʊ t j uː	where did they put you ?
ɡ oʊ d aʊ n w ɛ ɹ	go down where ?
æ n d ʃ iː d ɪ d ð æ t h ɪ ɹ	and she did that here .
j ɛ h m iː	yeah me .
aɪ s eɪ j uː s eɪ	i say you say .
w ɛ ɹ ɑː ɹ	where are ?
æ n d j uː k æ n d uː ɪ t	and you can do it ?
ɪ z ʃ iː ɡ oʊ ɪ ŋ	is she going ?
n oʊ j uː d oʊ n t n oʊ	no you don't know ?
d ɪ d j uː d̠ʒ ʌ s t s eɪ ð æ t	did you just say that ?
ð æ t ð æ t s ð ə	that that's the .
ɡ oʊ ɔ n d aʊ n	go on down .
aɪ θ ɪ ŋ k ð ɪ s	i think this .
æ n d ð æ t ʃ iː w ʌ z	and that she was .
j uː d oʊ n t s eɪ j uː n oʊ	you don't say you know .
n oʊ w ʌ t d ɪ d ð eɪ d uː	no what did they do ?
w ʌ t ð ə l ʊ k æ t ð æ t	what the look at that !
d ʌ z ɪ t h æ v w ʌ n	does it have one ?
w ʌ t ɐ j uː w ɔ n t	what a you want ?
ʌ p ʌ p	up up ?
æ n d d uː ɪ t	and do it .
ð ə b eɪ b i	the baby .
æ n d m iː	and me .
aɪ w ɔ n ə d̠ʒ ʌ s t ɡ ə n ə s eɪ	i wanna just gonna say .
ɪ t s s oʊ l ɪ ɾ ə l	it's so little !
oʊ oʊ k eɪ h ɪ ɹ w iː ɡ oʊ	oh okay here we go .
j uː w ɔ n t aʊ t d oʊ n t j uː	you want out don't you ?
oʊ ɪ ɾ ɪ z n aʊ	oh it is now .
ð ɛ n w iː k æ n p l eɪ	then we can play ?
l aɪ k w ʌ t d ɪ d	like what did .
j ɛ h ð æ t s oʊ k eɪ ɹ aɪ t	yeah that's okay right ?
p ʊ t j uː ɪ n w ʌ t	put you in what ?
h aʊ d ɪ d j uː ɡ ɛ t ð æ t	how did you get that ?
n oʊ b ʌ t	no but .
ɪ z ʃ iː ɪ n	is she in ?
æ n d w ʌ t d ɪ d aɪ d uː	and what did i do ?
b ɪ k ʌ z j uː θ ɪ ŋ k ɪ t s ɡ ʊ d	because you think it's good ?
w ɔ n ə p l eɪ ð æ t	wanna play that ?
n oʊ ð ɛ ɹ n ɑː t n oʊ	no there not no .
ð ɛ ɹ ð eɪ ɑː ɹ s iː	there they are see .
b ɪ k ʌ z aɪ m t uː b ɪ ɡ	because i'm too big .
j uː k æ n h æ v ð æ t	you can have that .
ʌ p æ t j uː	up at you .
aɪ m w ɪ ð j uː	i'm with you .
oʊ j uː k æ n p l eɪ	oh you can play !
k ʌ m ɔ n æ n d iː t	come on and eat !
w ʌ t s ð ɪ s ɪ n h ɪ ɹ	what's this in here ?
æ n d ð ɛ n w ɛ n ð eɪ s eɪ	and then when they say .
æ n d w ʌ t s ð ɪ s	and what's this .
oʊ l ʊ k h ɪ ɹ	oh look here .
ð eɪ ɡ ɑː t eɪ	they got a .
w ɛ l ɪ t s m aɪ b eɪ b i	well it's my baby .
ð eɪ d oʊ n t ɡ oʊ ɹ aɪ t	they don't go right .
ɑː ɹ j uː ʌ p ð ɛ ɹ	are you up there ?
ð ɪ s ɪ z t uː l ɪ ɾ ə l	this is too little .
ð ɛ n w ʌ t ɑː ɹ j uː	then what are you ?
ɑː ɹ ð eɪ ð ɛ ɹ	are they there ?
aɪ h æ v w ʌ n	i have one !
j uː d oʊ n t p ʊ t ð ɛ m aʊ t	you don't put them out .
ð æ t s w ʌ t j uː w ɔ n t	that's what you want ?
h aʊ aɪ	how i .
oʊ k eɪ h ɪ ɹ w iː ɡ oʊ n aʊ	okay here we go now .
n oʊ n ɑː t ð ɪ s	no not this .
ɑː ɹ j uː s oʊ b ɪ ɡ	are you so big ?
n oʊ b ɪ k ʌ z j ʊ ɹ ɪ n h ɪ ɹ	no because you're in here .
d uː d uː j uː	do do you ?
d̠ʒ ʌ s t b eɪ b i	just baby ?
oʊ ɪ z h iː	oh is he ?
k æ n j uː s eɪ b ɪ ɡ	can you say big ?
n oʊ ɪ t s f ɔː ɹ b eɪ b i	no it's for baby .
oʊ j ɛ h ɪ ɾ ɪ z	oh yeah it is .
j uː d uː aɪ θ ɪ ŋ k	you do i think .
m iː t uː	me too !
ð æ t s w ʌ t aɪ s eɪ	that's what i say .
j ɛ h ɪ t s ʌ p t ə j uː	yeah it's up to you .
d ɪ d ʃ iː d uː	did she do ?
ɪ t s n ɑː t oʊ k eɪ	it's not okay .
æ n d ð ɛ n aɪ d oʊ n t n oʊ	and then i don't know .
k æ n j uː ɡ ɛ t ɪ t n aʊ	can you get it now ?
w ʌ t ɑː ɹ	what are ?
h iː d ɪ d d uː ɪ t	he did do it .
j uː d oʊ n t l ʊ k	you don't look .
w ʌ t s ʌ p w ɪ ð ð æ t	what's up with that ?
k æ n j uː iː t ɪ t	can you eat it ?
ð ɪ s ɪ z t ə ð ə ɹ aɪ t	this is to the right .
aɪ s iː w ʌ n ʌ v ð ɛ m	i see one of them .
s eɪ s eɪ s eɪ	say say say .
j uː iː t ɪ ɾ ɔː l ʌ p	you eat it all up ?
l ɛ t s p ʊ t ð ɪ s ʌ p	let's put this up .
oʊ w ʌ t ɐ b aʊ t h ɪ m	oh what about him ?
n oʊ h ɪ ɹ	no here .
ð ɛ ɹ z ð ə b eɪ b i	there's the baby !
b ʌ t aɪ θ ɪ ŋ k	but i think .
aɪ w ʌ z d̠ʒ ʌ s t aʊ t ð ɛ ɹ	i was just out there .
d uː j uː s iː	do you see ?
h iː k æ n	he can ?
æ n d ð ɛ n ɔ n	and then on .
l aɪ k ð ɪ ʌ m	like the um .
j ʊ ɹ b eɪ b i	your baby .
ɡ ə n ə p ʊ t ð ɪ s ɪ n h ɪ ɹ	gonna put this in here .
ð ɛ ɹ z ɡ ə n ə b iː	there's gonna be .
w ɛ ɹ d ɪ d w iː ɡ oʊ	where did we go ?
j ɛ h ʌ p	yeah up .
ɪ t s j ʊ ɹ b eɪ b i	it's your baby .
h aʊ k ʌ m h iː d oʊ n t	how come he don't ?
w ɛ n ʌ m	when um .
ɔː ɹ ʃ iː	or she .
oʊ j uː d oʊ n t	oh you don't .
aɪ l aɪ k t ʊ iː t	i like to eat .
j uː ɡ ə n ə d uː ɪ t ɹ aɪ t	you gonna do it right ?
ð æ t s t ə p l eɪ w ɪ ð	that's to play with .
oʊ ɡ oʊ	oh go ?
w ɛ l ð æ t s ð ə ɹ aɪ t w ʌ n	well that's the right one .
ɪ t s ɔ n ɹ aɪ t	it's on right ?
ʃ iː d ʌ z ɪ t	she does it .
ɡ ə n ə k ʌ m æ n d ɡ ɛ t j uː	gonna come and get you .
aɪ k æ n t uː	i can too .
ɑː ɹ j uː ɡ oʊ ɪ ŋ ʌ p	are you going up ?
h ɪ ɹ aɪ ɡ ɑː t ɪ t	here i got it .
n aʊ w iː h æ v	now we have .
oʊ k eɪ æ n d ʌ m j ɛ h	okay and um yeah .
oʊ j uː ɡ ɑː t w ʌ n l ʊ k	oh you got one look .
ð æ t s h aʊ ɪ t ɡ oʊ	that's how it go .
w ɛ l æ n d ɐ l ɪ ɾ ə l w ʌ t	well and a little what ?
ð ɛ ɹ z w ʌ n oʊ	there's one oh !
oʊ k ʌ m oʊ v ɚ h ɪ ɹ	oh come over here !
w ʌ t ɑː ɹ w iː ɡ oʊ ɪ ŋ d uː	what are we going do ?
w ʌ t ɪ z ɪ n ð ɛ ɹ	what is in there .
j ʊ ɹ b eɪ b i ɔː ɹ m aɪ b eɪ b i	your baby or my baby ?
w ɛ l j ɛ h j ʊ ɹ ɹ aɪ t	well yeah you're right .
l aɪ k aɪ θ ɪ ŋ k h iː	like i think he .
b ɪ k ʌ z h iː w ʌ z	because he was .
w ɛ ɹ aɪ w ɔ n ə b iː	where i wanna be .
æ n d d aʊ n	and down .
w ɪ ð w ʌ t ɔ n ɪ t	with what on it ?
w ʌ z ʃ iː	was she ?
aɪ d oʊ n t n oʊ ð æ t	i don't know that .
l ɛ t s d̠ʒ ʌ s t l ʊ k	let's just look .
w ɛ ɹ oʊ	where oh !
j uː k æ n p ʊ t ð æ t	you can put that .
n oʊ m aɪ n oʊ	no my no .
oʊ k eɪ l ɛ t s s iː h ɪ ɹ	okay let's see here .
h aʊ d uː j uː n oʊ ɪ t	how do you know it ?
p ʊ t ð ɪ s h ɪ ɹ l aɪ k ð æ t	put this here like that .
d̠ʒ ʌ s t iː t j uː ʌ p	just eat you up !
j uː ɡ oʊ n aʊ	you go now ?
ɪ z ð æ t w ʌ t j uː θ ɪ ŋ k	is that what you think ?
n oʊ j uː ɡ ɛ t w ʌ n	no you get one .
w ɛ l ð ɛ n l ɛ t s p ʊ t	well then let's put .
ð ɛ ɹ ð eɪ ɑː ɹ	there they are ?
n oʊ ɪ t s f ɔː ɹ m iː	no it's for me .
w ɛ l d̠ʒ ʌ s t s eɪ ð æ t	well just say that .
ɪ t w ʌ z n ɑː t	it was not !
ð ɛ ɹ z s ʌ m	there's some !
ð ɛ ɹ z ð ə n oʊ oʊ v ɚ ð ɛ ɹ	there's the no over there .
h aʊ d uː j uː l aɪ k ð ɪ s	how do you like this ?
w ʌ t s ɡ ə n ə iː t	what's gonna eat ?
n oʊ d̠ʒ ʌ s t n aʊ n aʊ	no just now now !
w ʌ t w ʌ t s ɪ t s eɪ	what what's it say ?
p ʊ t m iː ɔ n	put me on .
aɪ m oʊ k eɪ h aʊ ɑː ɹ j uː	i'm okay how are you ?
oʊ æ n d l ʊ k	oh and look .
n oʊ n oʊ ɡ ʊ d	no no good .
w ʌ t ɪ z ɐ w ɔ n t	what is a want ?
n aʊ w ʌ t w ʌ z ð æ t	now what was that ?
ð eɪ h æ v	they have ?
h aʊ ɐ b aʊ t l aɪ k ð ɪ s	how about like this .
b ʌ t h iː d ʌ z	but he does .
s eɪ l ɛ t s ɡ oʊ f ɔː ɹ	say let's go for !
oʊ j uː w ɔ n ə ɡ oʊ n aʊ	oh you wanna go now ?
w ɔ n t m iː t ə k ʌ m t uː	want me to come too ?
ɑː ɹ j uː ɔː l ɡ ə n ə p l eɪ	are you all gonna play ?
j ɛ h j uː d ɪ d ɡ ʊ d	yeah you did good .
l ɛ t s ɡ ɛ t ð ɪ s ɹ aɪ t	let's get this right .
h iː z n ɑː t b eɪ b i n aʊ	he's not baby now .
b ʌ t ð eɪ k æ n p l eɪ t uː	but they can play to .
w ʌ t j uː d oʊ n t w ɔ n t	what you don't want ?
k æ n j uː ɡ ɛ t ɪ t h ɪ ɹ	can you get it here .
oʊ h ɪ m h ɜː	oh him her ?
k ʌ m ʌ p h ɪ ɹ ɹ aɪ t n aʊ	come up here right now .
h iː ʌ p h ɪ ɹ	he up here ?
aɪ h æ v w ʌ n d aʊ n h ɪ ɹ	i have one down here .
n aʊ j ʊ ɹ ɡ ə n ə iː t ɪ t	now you're gonna eat it ?
w ʌ t s ð ɪ s w ɪ ð h ɪ z w ʌ t	what's this with his what ?
w ʌ t w ʌ t w ʌ t w ʌ t w ʌ t	what what what what what ?
ʃ iː w ɔ n ə s iː	she wanna see .
ð æ t s ɡ ʊ d ɹ aɪ t	that's good right .
j ʊ ɹ ɡ ə n ə p ʊ t ð ɛ m ð ɛ ɹ	you're gonna put them there .
j uː l aɪ k ð æ t	you like that !
n oʊ w ʌ t d uː j uː s eɪ	no what do you say ?
h ɪ ɹ ɑː ɹ s ʌ m	here are some .
n aʊ p ʊ t ɪ ɾ ɔ n	now put it on .
w ʌ t k æ n ð eɪ d uː	what can they do ?
p ʊ t ɪ ɾ ʌ p w ɛ ɹ	put it up where ?
h aʊ d ɪ d aɪ d uː ð æ t	how did i do that ?
k æ n ð ɪ s b iː	can this be ?
s iː j uː l aɪ k	see you like .
w ɛ l ɪ f j uː d oʊ n t	well if you don't .
w ʌ t h æ v w iː ɡ ɑː t h ɪ ɹ	what have we got here ?
aɪ m d̠ʒ ʌ s t	i'm just .
w ʌ t d ʌ z h iː d uː ð ɛ ɹ	what does he do there ?
j uː k æ n ɡ oʊ	you can go .
b eɪ b i d oʊ n t	baby don't .
ɡ ə n ə iː t h ɪ m	gonna eat him ?
f ɔː ɹ n aʊ ɪ t s	for now it's .
w ɛ l j uː θ ɪ ŋ k ɐ b aʊ t ɪ t	well you think about it .
d ɪ d j uː s eɪ ʌ m	did you say um ?
d ʌ z ɪ t l ʊ k l aɪ k ð ɪ s	does it look like this ?
æ ɾ ɔː l b ʌ t	at all but .
w ɔ n ə s iː m iː d uː ɪ t	wanna see me do it ?
h ɪ ɹ l ɛ t s p ʊ t ð ɛ m ɔ n	here let's put them on !
s oʊ ð eɪ ð ɛ ɹ ɪ ɾ ɪ z	so they there it is .
æ n d ð eɪ h æ v	and they have .
h aʊ ɑː ɹ j uː d aʊ n ð ɛ ɹ	how are you down there ?
w ɛ l k æ n aɪ iː t ɪ t	well can i eat it ?
n oʊ ɪ t s f ɔː ɹ h ɜː	no it's for her .
l ɛ t s p ʊ t ð ɪ s d aʊ n h ɪ ɹ	let's put this down here .
l ɛ t s ɡ oʊ ɪ n	let's go in .
ɔː ɹ d ɪ d j uː d̠ʒ ʌ s t n oʊ	or did you just know ?
j ɛ h j uː w ɔ n t aʊ t	yeah you want out .
n aʊ j uː w ɔ n ə d uː ð æ t	now you wanna do that ?
l ʊ k h aʊ b ɪ ɡ h iː ɡ ɑː t	look how big he got !
ʌ m ð ɪ s ɪ z ɡ ʊ d	um this is good .
aɪ w ɔ n t j uː	i want you .
aɪ k æ n s iː h ɜː	i can see her .
w ʌ t d ɪ d j uː m eɪ k ð ɛ ɹ	what did you make there ?
w ɛ ɹ ɹ aɪ t h ɪ ɹ	where right here ?
b ɪ k ʌ z ð eɪ d̠ʒ ʌ s t ɑː ɹ	because they just are .
n oʊ j uː k ʌ m oʊ v ɚ h ɪ ɹ	no you come over here .
w ɛ l aɪ θ ɪ ŋ k aɪ h æ v	well i think i have .
æ n d s oʊ ʃ iː	and so she .
θ ɪ ŋ k oʊ k eɪ	think okay ?
ð æ t s w ʌ t j uː s eɪ	that's what you say ?
p ʊ t h ɪ m ɔ n h ɪ ɹ	put him on here .
b eɪ b i j ɛ h	baby yeah !
k æ n j uː ɡ ɛ t w ʌ n	can you get one ?
n oʊ w ʌ t n oʊ w ʌ t	know what know what ?
ð eɪ ɑː ɹ ɹ aɪ t ð ɛ ɹ	they are right there .
